Id,Reputation,DaysExisted,Views,UpVotes,DownVotes,QuestionViews,QuestionVotes,Questions,Answers,AcceptedAnswers,GoldBadges,SilverBadges,BronzeBadges
"386","18077","3739","2249","715","406","95074","365","22","185","45","5","56","92"
"47360","18056","2448","2692","824","53","17103","202","58","404","138","2","28","65"
"7433","17901","3295","9440","2299","617","56031","174","24","325","139","5","55","98"
"1268","17770","3677","3003","450","78","4128","43","4","244","71","2","41","71"
"11053","17371","3110","3570","3775","183","72302","258","31","258","118","9","62","117"
"34382","17260","2635","4428","1168","464","18278","176","19","427","153","6","44","95"
"37364","17008","2581","1575","1407","8","2164","29","10","544","132","3","30","61"
"82339","16286","2082","2011","54","16","0","0","0","720","162","3","23","39"
"8821","16277","3214","4642","330","142","51304","344","48","267","137","2","32","75"
"247642","16227","447","1021","775","125","2102","62","23","631","185","2","18","48"
"52394","16163","2416","1558","1223","95","15450","162","20","269","117","1","26","72"
"6316","16127","3364","3012","607","4","31728","249","38","442","175","0","19","48"
"56997","15716","2373","13424","2474","2139","0","0","0","407","118","3","29","46"
"41072","15685","2543","2697","731","11","1450","29","5","331","143","2","41","78"
"17320","15656","2960","5782","974","50","11367","96","8","183","75","1","40","68"
"5223","15645","3437","4759","1284","27","12713","35","3","469","107","1","35","57"
"3099","15602","3587","2976","400","1","23138","210","17","177","75","2","45","80"
"137289","15450","1535","2558","1205","643","1514","4","1","569","132","4","25","53"
"63097","15431","2293","1936","1432","413","21203","150","30","304","100","2","41","80"
"153306","15340","1392","1771","1503","339","159","4","1","322","130","8","38","59"
"20427","15266","2929","3664","1601","243","116608","407","83","328","120","6","42","99"
"186017","15220","1079","2541","314","416","1277","2","5","1185","116","2","13","47"
"24653","15158","2822","5996","1566","1716","50281","252","22","211","87","9","64","101"
"6634","15109","3344","4394","1248","1092","22871","133","16","311","146","5","47","77"
"65081","15025","2311","3567","1522","439","5260","51","15","571","142","5","29","64"
"3811","14971","3538","2578","683","34","19944","80","12","287","87","1","38","77"
"6178","14826","3370","2407","1849","16","4742","48","3","278","107","2","36","73"
"129209","14734","1617","1759","574","135","2528","12","5","793","211","2","12","35"
"4521","14646","3493","1629","276","4","911178","1409","144","11","3","22","78","140"
"115736","14517","1746","1702","613","79","9521","86","19","264","106","1","37","74"
"127931","14339","1630","1971","1005","1541","0","0","0","407","137","4","32","46"
"23389","14290","2850","3500","1371","360","34102","194","28","251","91","4","37","73"
"1504","14134","3670","3141","2920","203","3598","50","5","239","77","2","43","70"
"8007","14120","3260","1534","1977","341","218","2","1","216","127","1","47","64"
"30247","13985","2689","2623","1468","203","7876","80","4","191","85","6","42","61"
"183259","13790","1104","1562","546","47","196","1","1","410","149","5","21","47"
"4888","13708","3468","6223","681","3407","1013","24","1","361","216","2","35","47"
"955","13649","3698","2227","5408","106","89069","929","189","223","19","2","36","99"
"148491","13640","1427","571","917","22","0","0","0","517","153","1","21","41"
"661","13602","3724","3450","747","17","168524","408","53","134","67","3","63","79"
"184523","13506","1092","713","188","18","0","0","0","361","114","1","25","39"
"36941","13402","2588","2633","234","341","20409","345","83","259","79","1","27","62"
"108333","13351","1819","1338","477","38","2338","34","7","492","150","2","12","35"
"14105","13330","3036","2865","2057","385","14885","104","11","206","114","2","28","62"
"8521","13273","3228","2685","1125","243","13946","68","13","225","85","1","37","65"
"24142","13162","2833","1686","484","105","0","0","0","180","90","2","34","77"
"38551","13123","2566","1853","744","55","1922","25","4","245","103","1","26","51"
"8554","13048","3352","1377","25","50","2920","24","7","310","125","1","18","42"
"66","12870","3750","2594","383","161","99062","472","24","114","27","5","58","84"
"52805","12860","2410","2495","600","338","7977","69","3","212","100","2","39","48"
"14275","12734","3030","778","71","9","6872","89","18","317","65","1","29","51"
"63690","12726","2286","4204","842","558","1554","3","2","577","151","2","27","44"
"1390","12514","3675","10659","171","90","11548","24","13","607","61","1","16","38"
"51994","12451","2420","3004","489","68","0","0","0","68","34","2","21","41"
"20848","12396","2918","3460","226","142","58392","99","2","266","72","1","26","46"
"95176","12149","1947","939","239","139","0","0","0","266","73","1","24","37"
"3540","12105","3562","2672","1718","11","570","15","2","127","35","3","29","52"
"117719","12019","1726","2508","310","3","931","5","5","457","93","1","16","28"
"1272","12007","3677","3650","3070","22","125148","255","41","237","54","5","35","70"
"6389","11940","3359","3227","209","2","2583","41","4","261","63","1","29","55"
"30833","11927","2677","3273","1316","190","17146","248","57","269","114","2","19","50"
"106502","11859","1826","2183","518","2791","0","0","0","314","119","10","35","46"
"5603","11838","3409","3939","267","16","3373","104","16","104","44","1","40","94"
"96494","11783","1933","1135","24","5","1884","24","11","449","101","2","20","36"
"4646","11561","3487","1064","1216","99","0","0","0","51","24","3","28","35"
"189477","11552","1057","786","169","3","149","0","1","597","177","2","12","29"
"98822","11497","1909","3061","689","370","141695","549","319","305","25","5","25","66"
"22494","11449","2874","8873","1559","1466","42361","117","12","143","58","17","46","74"
"27732","11420","2747","1337","543","40","190","6","1","227","127","1","22","34"
"164879","11420","1290","2841","740","41","33136","252","68","241","95","1","21","49"
"21817","11341","2891","3291","1434","1915","122460","355","65","118","35","6","43","85"
"9444","11123","3178","19876","230","7","22594","189","10","113","31","3","51","73"
"177855","11117","1158","1447","947","18","74492","374","40","216","51","2","33","51"
"4993","11097","3457","1851","351","2867","10945","54","13","355","55","2","31","51"
"59023","10916","2340","2229","2136","32","12029","67","18","366","128","4","25","102"
"45613","10893","2474","2572","821","13","82422","358","118","350","85","2","24","57"
"255997","10819","337","1829","238","148","0","0","0","463","87","4","17","35"
"29216","10791","2713","2325","1210","210","40321","190","13","257","105","5","38","66"
"50546","10592","2428","1981","179","55","95","4","1","261","95","1","18","38"
"373","10267","3740","2399","2025","25","2617","31","2","131","55","1","28","62"
"75633","10247","2154","1582","746","993","322","9","3","277","124","12","25","55"
"58382","10181","2350","1378","4599","251","72972","200","51","242","107","5","26","78"
"1486","10166","3670","4948","385","86","13992","183","30","202","55","1","22","50"
"7616","10153","3285","7008","300","23","15814","165","21","122","76","0","28","60"
"55261","10141","2403","1024","456","20","844","4","7","395","107","1","16","40"
"29944","10048","2696","1974","332","11","3707","35","8","199","91","0","15","46"
"23785","10027","2840","2434","380","30","2186","8","1","292","124","0","20","43"
"56299","10013","2385","3863","2500","281","23671","120","30","157","70","5","35","65"
"76162","9938","2147","8093","1647","351","60811","317","14","514","60","6","28","50"
"30717","9859","2680","2561","239","52","9756","32","5","216","100","1","22","31"
"75502","9836","2155","2148","142","28","220094","811","372","1","1","5","31","74"
"399","9797","3739","12042","1944","984","5675","72","3","142","53","0","28","62"
"5563","9789","3412","1252","363","154","21210","173","18","116","41","1","34","64"
"70207","9753","2223","1110","634","74","3418","14","1","140","59","1","27","40"
"1186","9606","3681","2206","319","250","130550","535","121","148","10","3","37","70"
"180269","9589","1132","748","1177","255","0","0","0","280","129","2","10","26"
"23564","9460","2846","1599","60","9","0","0","0","312","83","2","21","25"
"1588","9384","3666","2471","764","9","22489","227","34","165","32","2","20","38"
"8895","9305","3209","621","0","0","10754","25","4","117","40","1","26","41"
"87624","9260","2012","1281","343","5","633","4","2","275","137","1","16","28"
"47511","9257","2446","1662","896","10","1969","28","10","300","41","1","18","40"
"101770","9158","1877","1176","13432","227","38683","240","38","133","39","3","29","77"
"73626","9107","2179","910","127","99","0","0","0","145","55","3","22","26"
"8234","9106","3246","887","16","99","4210","9","3","251","56","1","17","28"
"29","9039","3750","1043","565","121","243957","341","25","76","19","2","40","64"
"16689","9013","2983","3137","1910","32","67568","310","34","127","36","2","34","106"
"227119","8968","1796","1726","408","172","689","5","2","263","100","1","20","44"
"29202","8953","2713","4393","1099","525","55","1","1","367","73","1","16","27"
"4248","8910","3508","1963","87","27","873","15","4","310","82","1","13","31"
"2751","8879","3608","9130","4417","380","93980","640","87","59","15","2","45","117"
"31635","8866","2663","1193","138","7","5718","10","4","291","85","1","16","32"
"123188","8840","1673","1048","38","96","0","0","0","267","71","2","19","28"
"4551","8805","3491","546","426","5","107466","329","12","71","37","3","34","52"
"1341","8726","3676","3886","141","56","0","0","0","137","33","1","29","36"
"23339","8713","2851","1050","1673","50","9541","91","19","167","66","1","21","59"
"11062","8672","3109","10717","4337","546","64268","50","22","226","63","7","34","72"
"1352","8640","3675","2615","0","0","5837","13","1","220","22","0","19","29"
"70245","8553","2223","997","2477","24","153","7","1","256","119","8","28","37"
"56188","8531","2386","640","426","143","1986","12","2","330","54","1","17","36"
"201709","8451","936","1017","834","85","412","13","5","287","88","3","16","39"
"1648","8394","3663","492","417","6","154874","760","86","29","3","0","44","89"
"37286","8305","2582","1341","1893","334","94321","775","203","43","6","2","16","75"
"28958","8283","2719","1809","1880","117","34789","383","57","125","73","2","19","63"
"1228","8247","3678","811","262","71","52490","333","29","64","19","3","24","64"
"3257","8208","3578","1585","722","20","0","0","0","317","91","1","17","21"
"163","8179","3747","1159","46","21","8050","148","4","51","19","0","30","47"
"194034","8122","1016","1034","68","9","1558","11","2","215","75","1","13","38"
"80706","8094","2103","2096","1589","370","0","0","0","181","87","2","24","42"
"4272","8091","3506","597","229","25","0","0","0","348","82","2","18","30"
"76931","7985","2137","813","188","9","1253","7","2","309","80","1","13","26"
"17198","7965","2965","495","40","13","778","-2","5","366","76","1","12","27"
"59215","7929","2336","5570","479","262","18836","158","29","160","87","1","22","53"
"5705","7903","3403","1919","289","3","123405","169","60","145","42","4","31","56"
"1501","7879","3670","2564","434","30","7811","96","3","72","28","1","25","29"
"72900","7699","2188","926","270","5","32465","287","122","155","58","1","13","38"
"86822","7639","2022","2015","98","16","1168","9","3","432","102","2","9","27"
"25794","7628","2795","623","466","6","77225","369","59","123","29","4","25","45"
"31748","7618","2661","1426","952","2","8038","104","23","377","89","1","14","36"
"166","7612","3747","1643","113","7","11087","51","3","64","27","0","31","37"
"50493","7586","2429","1147","289","35","4943","78","17","143","51","3","19","40"
"19","7584","3750","3378","378","87","7490","44","3","71","21","2","24","44"
"2715","7574","3609","1345","860","10","21685","107","12","48","30","3","42","70"
"68410","7432","2236","745","100","17","10963","100","30","179","85","0","10","25"
"5646","7383","3406","1568","18","3","2214","19","2","58","26","0","32","41"
"2121","7350","3640","930","4","0","0","0","0","2","1","1","11","6"
"62726","7349","2299","777","152","18","5999","49","1","150","64","1","26","29"
"7743","7248","3276","821","284","1","227918","637","83","27","7","6","35","71"
"5374","7241","3425","3602","547","115","159964","666","113","136","43","5","33","78"
"93729","7221","1963","437","596","40","5315","58","19","180","48","1","15","37"
"32426","7212","2648","3221","12585","654","25921","200","39","137","27","12","36","51"
"46708","7208","2458","3152","5473","32","58284","64","142","686","82","4","16","48"
"157625","7193","1350","705","1076","40","0","0","0","349","88","2","12","31"
"165813","7182","1279","428","389","17","0","0","0","243","83","1","13","24"
"123208","7170","1673","1702","7653","1285","0","0","0","165","61","2","17","38"
"74763","7161","2164","2291","1053","114","0","0","0","177","41","0","22","23"
"1942","7107","3644","983","24","0","245623","739","1","0","0","3","13","9"
"1353","7106","3675","1129","236","48","0","0","0","121","38","1","19","34"
"157014","7096","1356","957","1034","137","0","0","0","187","90","2","9","33"
"3397","7092","3568","2837","163","21","155767","574","37","31","16","5","34","57"
"61","7089","3750","750","344","40","16127","136","7","39","19","2","22","28"
"12613","7079","3053","1369","973","124","1458","9","2","201","73","0","17","38"
"24093","7010","2833","1840","302","220","11467","84","18","215","70","1","20","45"
"104964","6992","1841","1374","365","212","71","1","1","192","49","2","20","30"
"57595","6956","2363","491","587","14","0","0","0","152","79","0","18","30"
"12813","6887","3046","1564","1137","1","87074","509","66","41","11","3","28","68"
"10833","6844","3119","2041","463","23","91892","397","52","51","28","0","30","74"
"106192","6829","1829","1426","551","53","494","5","2","268","63","1","13","29"
"10336","6768","3139","2472","1469","52","14861","136","19","132","33","1","19","48"
"2936","6720","3596","926","646","8","7631","45","7","83","27","2","25","27"
"83545","6714","2066","927","373","95","14223","103","14","166","83","0","21","40"
"13","6711","3750","1968","101","28","32510","163","7","43","11","4","34","37"
"1247","6700","3678","649","185","32","82199","516","65","10","4","3","24","64"
"8901","6696","3209","1730","232","128","1529","64","3","116","77","1","17","31"
"62952","6687","2295","832","320","11","232","0","1","223","75","1","19","30"
"121464","6681","1694","3481","904","367","18778","95","24","114","38","3","25","49"
"60891","6668","2311","3037","1663","48","29290","124","14","160","39","7","32","59"
"4","6605","3751","1248","45","4","872052","618","87","3","0","17","60","90"
"63547","6582","2287","1722","687","622","65769","162","26","138","43","3","28","41"
"1370","6573","3675","4601","231","1143","8415","45","7","88","51","0","20","34"
"48856","6532","2440","1361","2985","121","0","0","0","211","81","2","16","35"
"159486","6511","1329","582","157","273","330","3","4","302","88","1","10","27"
"14202","6499","3033","1051","20","2","0","0","0","140","47","1","14","24"
"869","6444","3706","1495","801","217","1278","14","2","81","36","1","26","40"
"131284","6417","1595","742","203","6","3062","34","9","287","61","1","8","30"
"22334","6406","2878","1032","441","5","27696","47","8","157","48","1","17","30"
"17609","6390","2952","2825","522","320","35811","124","18","79","33","2","29","52"
"233597","6372","616","401","483","27","363","1","2","361","60","2","9","25"
"335","6337","3741","218","5","0","8979","94","6","54","29","0","26","40"
"6432","6312","3356","2269","218","45","2504","20","3","189","22","0","24","44"
"167242","6309","1263","366","8","4","52","2","1","174","22","0","10","25"
"35024","6285","2625","1556","1593","126","3971","54","10","114","38","1","23","50"
"63535","6281","2287","4097","275","131","19174","81","32","312","79","2","16","35"
"75628","6257","2154","1372","774","40","167379","665","120","59","13","5","23","63"
"43164","6207","2512","698","68","14","712","9","1","238","55","2","12","23"
"184","6181","3743","1163","294","31","29695","334","28","52","17","0","23","54"
"43101","6161","2513","759","69","7","0","0","0","106","22","0","17","28"
"97","6143","3750","1748","1317","45","48458","379","20","54","10","1","34","54"
"3970","6127","3530","1233","374","22","2017","46","4","92","45","0","19","37"
"15693","6127","3016","2207","176","8","9953","139","32","74","29","0","28","46"
"135145","6124","1556","410","157","8","326","4","1","207","89","2","12","27"
"164488","6122","1294","1750","501","39","156059","893","387","6","3","2","26","61"
"70392","6122","2221","2448","353","124","346453","801","428","92","46","7","39","112"
"7375","6112","3298","863","1198","18","5925","26","5","95","38","1","17","41"
"101892","6079","1875","393","161","99","0","0","0","189","80","1","10","19"
"146039","6023","1448","751","553","155","0","0","0","206","95","3","14","30"
"154072","6002","1384","631","279","183","156","1","1","141","67","2","19","30"
"180385","5976","1131","323","526","148","8845","97","8","170","51","0","13","37"
"38675","5967","2564","5950","705","1355","0","0","0","221","89","26","19","27"
"447","5967","3736","1116","125","1","777884","589","44","1","1","17","41","51"
"63994","5950","2873","1138","1568","80","6473","63","9","133","51","1","16","45"
"59281","5939","2335","568","325","125","8431","163","29","151","80","0","12","22"
"139","5929","3749","634","102","3","140688","404","31","19","3","4","30","40"
"128186","5916","1628","388","192","2","12922","58","22","168","63","3","15","39"
"10522","5872","3132","3434","268","3","16782","163","14","58","20","0","25","44"
"59406","5862","2334","870","231","27","130","1","1","133","52","2","20","33"
"122958","5842","1676","952","541","2","4038","15","8","330","98","2","9","23"
"18740","5837","2949","684","151","12","3775","17","2","78","32","0","17","33"
"219654","5828","756","258","85","13","504","19","6","171","29","1","11","26"
"31496","5802","2666","766","178","5","70444","355","112","54","21","0","15","43"
"40441","5768","2552","894","1600","70","0","0","0","52","9","0","18","28"
"56578","5758","2380","2660","1385","336","49130","90","22","41","27","5","34","65"
"195949","5752","997","515","420","23","3685","48","35","487","52","2","6","15"
"155230","5744","1373","1060","550","17","69587","502","46","18","5","5","18","55"
"24791","5715","2818","2036","791","250","39904","226","6","65","24","6","29","48"
"247868","5708","444","770","453","64","6711","89","69","99","38","1","14","35"
"71","5672","3750","749","116","4","195290","432","24","16","6","4","37","49"
"2843","5672","3602","766","278","6","187648","422","85","31","1","4","36","64"
"30217","5665","2690","879","1177","24","40543","208","32","64","41","2","23","39"
"98263","5652","1914","864","351","95","77995","471","120","103","28","2","16","43"
"2151","5635","3638","642","657","15","5911","39","4","56","35","0","27","36"
"23119","5633","2856","11315","3007","851","16221","118","25","131","9","4","29","48"
"353","5632","3740","968","1567","282","17180","73","11","121","28","1","26","41"
"23741","5628","2841","2044","1127","71","10583","70","7","161","62","1","16","40"
"25069","5622","2812","795","142","25","8772","40","5","115","44","0","17","29"
"1924","5613","3652","1131","285","16","75605","354","57","47","12","3","24","38"
"271783","5612","184","1135","240","36","37374","253","64","116","40","1","13","45"
"74534","5603","2167","423","432","4","93202","400","68","58","8","2","22","52"
"112507","5597","1778","1077","811","169","4481","10","10","195","75","3","17","34"
"26143","5578","2787","928","531","48","76649","468","89","17","8","2","18","40"
"10456","5543","3134","1110","88","28","86104","461","75","36","17","0","21","72"
"911","5537","3701","675","73","16","9765","71","17","139","45","1","21","31"
"45253","5530","2480","598","26","64","0","0","0","128","62","2","13","20"
"3998","5498","3528","1348","691","12","7721","65","8","116","35","0","18","34"
"126","5443","3749","1201","376","19","156530","234","16","56","10","4","32","46"
"75916","5442","2150","2324","1049","156","68019","391","76","83","23","3","21","57"
"84488","5441","2053","1689","239","232","492","5","2","221","52","0","11","22"
"3936","5403","3531","911","2952","132","21033","118","16","73","13","3","28","49"
"60644","5393","2315","443","659","123","2086","42","3","143","77","1","12","31"
"242949","5387","505","683","134","45","512","11","3","264","44","0","12","25"
"196314","5382","993","536","417","24","66","5","1","142","72","1","7","29"
"60080","5376","2323","1293","210","70","124861","406","72","30","9","4","32","56"
"68860","5360","2228","772","678","31","39221","108","19","148","39","1","18","29"
"8338","5315","3239","1019","437","6","2279","9","3","162","48","1","23","37"
"27384","5308","3023","993","548","12","91672","553","160","17","5","1","24","52"
"205969","5244","884","513","1784","112","638","2","8","235","41","1","10","29"
"29762","5237","2700","3675","1174","76","426674","152","76","116","19","12","45","80"
"1172","5233","3682","453","196","2","58875","258","51","71","12","0","22","50"
"26063","5225","2789","2231","187","24","135874","168","60","157","43","4","26","55"
"78942","5192","2113","644","1107","99","162","8","1","58","22","1","15","38"
"10027","5190","3153","866","272","44","14185","61","5","51","11","0","22","35"
"23660","5188","2843","550","236","63","0","0","0","92","53","1","13","23"
"83380","5169","2068","721","2384","28","63129","506","121","35","15","3","15","56"
"369","5160","3740","1592","1574","26","1322","6","2","67","21","2","25","45"
"43488","5148","2507","892","1120","39","0","0","0","128","45","2","13","32"
"84158","5143","2058","927","124","3","40447","373","250","29","3","0","10","20"
"77210","5135","2132","945","415","33","3341","30","9","203","48","1","13","25"
"4210","5119","3513","537","88","8","2899","41","4","76","21","0","15","29"
"89597","5113","2000","323","210","10","152","1","2","114","48","2","12","15"
"12350","5112","3063","2362","969","62","63032","166","34","88","40","2","25","58"
"31965","5101","2657","602","644","25","67783","423","84","21","7","1","22","42"
"171547","5078","1217","256","72","236","259","8","1","193","80","0","9","22"
"204634","5059","900","1370","4","7","855","10","3","267","43","1","5","16"
"157704","5022","1349","320","257","1","15590","185","43","68","19","1","14","35"
"24452","5020","2827","1484","196","16","127887","370","63","38","8","3","28","50"
"25680","5018","2797","661","1112","15","92907","152","43","68","23","2","27","60"
"148184","5003","1430","286","25","2","0","0","0","223","66","2","7","15"
"176","4980","3743","838","719","124","62842","219","22","28","11","1","30","52"
"30887","4967","2676","429","124","12","35006","43","9","118","26","1","12","39"
"7182","4948","3309","986","377","25","22662","89","16","123","36","2","19","40"
"1655","4948","3662","714","281","31","2134","24","4","45","25","0","21","31"
"28512","4945","2727","557","8","1","0","0","0","237","28","0","8","18"
"791","4925","3712","1004","339","94","10480","56","2","68","23","0","27","29"
"50770","4922","2424","1147","531","493","8637","94","25","129","58","1","14","36"
"34521","4919","2633","746","5814","9","2333","29","3","81","25","3","15","38"
"238328","4908","554","636","0","0","130","2","1","722","87","2","3","10"
"72068","4888","2199","760","99","188","0","0","0","160","77","1","10","24"
"35268","4873","2622","404","89","20","121278","493","46","8","4","5","22","39"
"22916","4870","2862","1030","1050","8","91678","381","172","25","1","3","21","45"
"12998","4851","3040","2013","9","1","2349","9","3","189","20","0","18","30"
"11205","4849","3104","11417","2","1","19096","133","1","18","1","3","23","31"
"65263","4845","2266","1117","193","0","8410","81","9","52","26","1","15","29"
"34669","4839","2631","370","99","3","92171","568","90","0","0","1","23","57"
"35399","4837","2619","1487","841","36","6026","36","14","194","54","0","14","44"
"8570","4821","3226","1276","44","10","172","4","1","139","60","0","11","19"
"829","4817","3709","1579","595","28","0","0","0","61","32","0","25","38"
"417","4803","3738","478","10","0","153156","230","11","26","10","3","27","36"
"7266","4799","3303","3259","384","16","0","0","0","116","47","0","15","21"
"232","4799","3742","764","197","23","0","0","0","111","16","0","14","25"
"383","4798","3739","551","108","1","6793","27","1","36","11","1","21","19"
"72299","4796","2196","575","132","9","0","0","0","132","65","0","12","15"
"3281","4789","3576","633","0","0","114620","21","3","97","26","2","13","15"
"196140","4784","995","746","40","26","1960","7","5","373","69","1","4","15"
"59208","4780","2337","520","221","51","36263","169","27","59","3","2","13","41"
"6982","4769","3322","2557","1107","155","4512","4","2","134","63","3","24","39"
"847","4765","3707","798","51","0","425021","442","16","1","0","12","30","29"
"16713","4744","2982","578","2497","143","16036","177","45","106","42","2","15","45"
"203557","4728","913","1597","5357","2","14681","311","114","64","27","3","7","34"
"5020","4725","3455","1528","320","20","51266","113","16","90","26","1","19","32"
"9220","4717","3190","811","33","0","57961","480","7","1","0","3","11","14"
"1631","4709","3664","481","183","6","0","0","0","102","43","0","15","17"
"26169","4702","2786","1184","2508","307","36666","246","31","35","22","2","22","53"
"2146","4702","3639","2029","367","45","70508","348","59","54","2","0","25","54"
"2170","4693","3637","3693","1183","184","49410","138","35","106","18","1","26","43"
"1708","4651","3739","967","1532","406","46303","193","23","60","14","1","26","51"
"5265","4637","3434","589","211","0","251618","417","121","7","0","5","33","64"
"238167","4584","556","1223","983","132","48436","271","76","35","8","4","17","52"
"15559","4572","3021","710","38","0","28507","175","64","78","28","1","13","26"
"82","4572","3750","1072","258","25","75334","180","13","44","20","4","24","48"
"89965","4568","1995","2149","487","249","28262","60","41","127","45","3","17","42"
"562","4553","3733","958","1459","103","17193","84","10","93","36","2","22","49"
"188","4553","3743","702","127","2","38125","212","17","25","8","3","24","41"
"37496","4550","2579","363","558","58","1687","22","5","98","35","1","15","33"
"16660","4540","2984","1290","290","25","15319","46","10","81","22","2","17","34"
"32185","4517","2652","383","347","17","9461","51","15","63","29","1","15","33"
"44013","4507","2499","727","121","23","3428","35","6","80","36","0","12","30"
"1460","4505","3672","705","45","2","15253","74","10","99","23","0","15","32"
"2540","4500","3618","632","188","17","129759","386","52","11","4","3","28","49"
